0	42,8490	46,5807	48,0762
1	35,6338	41,1413	44,0696
2	36,1268	41,1044	43,4647
3	35,8823	40,5888	43,1431
4	36,6800	41,3410	43,4285
5	35,6551	40,5011	43,1416
6	36,3268	40,8958	43,1923
7	35,9208	40,6442	43,2633
8	37,3444	41,7448	43,6369
9	35,6483	40,6571	43,1003
10	36,0192	40,8725	43,1453
11	35,4179	40,5590	43,0222
12	36,3632	41,2471	43,2613
13	35,3105	40,5819	43,0452
14	35,8447	41,0166	43,2964
15	35,0986	41,1157	43,7339
16	42,5205	46,1541	47,4980
17	35,0075	40,8952	43,6272
18	35,9926	40,9887	43,3095
19	35,2867	40,3424	42,9133
20	36,3061	41,1283	43,1126
21	35,1924	40,4217	42,9377
22	35,9002	40,7607	43,0176
23	35,8822	40,6068	42,9707
24	37,4436	41,6162	43,3940
25	36,3234	40,5260	43,0978
26	36,7171	40,8632	43,1882
27	36,4761	40,4229	42,8718
28	37,2357	41,1846	43,1226
29	36,4790	40,3343	42,8394
30	36,8767	40,9592	43,3413
31	36,2128	40,7550	43,6899
32	42,6677	46,0788	47,3605
33	36,1310	40,6351	43,6683
34	36,4187	40,9859	43,6321
35	35,5393	40,1241	42,8479
36	36,5321	41,1201	43,3517
37	35,4207	40,0684	42,8047
38	36,2345	40,7240	43,2531
39	36,1080	40,3630	43,0521
40	37,6059	41,5813	43,7188
41	36,1140	40,3519	43,0492
42	36,6214	40,8962	43,3241
43	36,0749	40,1787	42,9294
44	36,9344	41,0884	43,2442
45	35,9316	40,2747	43,0557
46	36,2060	41,0030	43,3896
47	35,3970	40,7057	43,7237
48	42,5146	46,0030	47,3016
49	35,6924	40,9736	43,8523
50	36,2458	41,0678	43,4471
51	35,7904	40,2437	42,7921
52	36,7383	40,9745	43,1554
53	35,9538	40,2371	42,7846
54	36,6467	40,6056	42,8246
55	36,0859	40,1010	42,5987
56	37,3492	41,3666	43,2185
57	35,8703	40,0949	42,6639
58	36,4507	40,5672	42,7806
59	35,9676	40,0272	42,4983
60	36,7097	40,9498	42,9903
61	35,6149	39,9785	42,7001
62	36,3084	40,8763	43,2129
63	35,7655	40,6572	43,5366
64	42,5866	45,9912	47,2742
65	36,1292	40,7602	43,6334
66	36,3736	40,7522	43,2308
67	35,6429	40,0496	42,6222
68	36,7555	41,1162	43,1016
69	35,8356	40,0672	42,6648
70	36,4342	40,6364	42,8905
71	35,7103	39,9885	42,5562
72	37,3258	41,3686	43,1816
73	35,5476	40,0046	42,7247
74	36,0961	40,5338	42,9919
75	35,0057	39,9486	42,6770
76	36,3279	41,1344	43,2409
77	35,6737	40,2502	42,9864
78	36,2998	40,7514	43,2128
79	35,7283	40,5420	43,7084
80	42,5527	45,9154	47,1932
81	35,6506	40,7680	43,8229
82	36,2634	40,9462	43,3891
83	35,6535	40,2548	42,9069
84	36,6857	41,0765	43,2605
85	35,5336	40,1171	42,8084
86	36,2170	40,7531	43,0127
87	35,9367	40,3696	42,9460
88	37,3724	41,3702	43,1723
89	35,9498	40,1890	42,7599
90	36,4972	40,6946	42,9382
91	35,8286	40,1932	42,8370
92	36,8230	41,1978	43,3512
93	35,7664	40,1552	43,0246
94	36,5005	40,7645	43,3357
95	35,9064	40,5675	43,4678
96	42,6167	45,9309	47,2772
97	36,0241	40,6792	43,6771
98	35,3222	38,6706	41,7225
99	34,8741	37,9596	40,9018

6317,2176	36,5706	41,0192	43,4222

